// Generated using In-game Timecyc Editor 1.8 written by fastman92
// Visit fastman92-site.tk

//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
0 0 0	33 33 33	255 255 255	0 0 0	0 0 0	0 0 0	5 0 0	1 0.3 0.8 200 100 0 528 95 1	0 0 0	3 3 3	38 38 55 240	127 64 64 64	127 88 27 0	122 0 0 0
//5AM
7 6 6	54 54 54	255 255 255	30 44 52	108 121 127	255 128 0	255 128 0	2.3 0.3 0.4 140 93 0 554 361 0.8	0 0 0	243 129 52	90 170 170 240	127 86 86 86	127 149 94 0	25 120 0 0
//6AM
6 6 6	49 49 49	255 255 255	88 125 148	114 121 132	255 128 0	255 128 0	1.4 0.3 0.8 140 93 0 558 340 0.8	0 0 0	243 129 52	90 170 170 240	127 86 86 86	127 149 94 0	122 120 0 1
//7AM
0 0 0	24 24 24	255 255 255	102 140 231	119 128 150	255 255 255	255 255 255	1.1 0.4 0.8 236 0 190 536 433 0	0 0 0	255 255 255	90 170 170 240	127 70 121 120	127 160 88 21	88 220 0 1
//Midday
0 0 0	53 53 53	255 255 255	122 128 190	128 142 160	255 255 255	255 255 255	1.8 0.3 0.8 211 0 149 547 444 0.4	0 0 0	255 255 255	145 170 170 240	127 58 110 115	127 123 70 14	255 255 0 1
//7PM
1 1 1	67 67 67	255 255 255	104 131 197	185 168 131	255 255 255	255 255 255	2.1 0.3 0.7 110 40 0 561 513 0.8	0 0 0	152 180 224	153 95 87 240	127 159 80 0	127 122 27 0	255 255 0 1
//8PM
0 0 0	22 22 22	255 255 255	27 37 88	103 76 44	255 128 0	155 0 0	2 0.4 0.4 100 60 0 531 308 1	0 0 0	128 128 192	67 67 67 240	127 118 89 48	127 69 28 6	62 120 0 1
//10PM
4 2 2	35 35 35	255 255 255	0 0 0	29 25 18	255 128 0	255 128 0	25.4 0.4 0.5 140 100 0 542 218 0.8	0 0 0	255 175 164	185 160 160 240	127 182 57 39	127 77 66 0	122 0 0 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
0 0 0	33 33 33	255 255 255	0 0 0	0 0 0	0 0 0	5 0 0	1 0.3 0.8 200 100 0 475 156 1	0 0 0	3 3 3	38 38 55 240	127 64 64 64	127 88 27 0	122 0 0 0
//5AM
7 6 6	54 54 54	255 255 255	30 44 52	108 121 127	255 128 0	255 128 0	2.3 0.3 0.4 140 93 0 532 318 0.8	0 0 0	243 129 52	90 170 170 240	127 86 86 86	127 149 94 0	25 120 0 0
//6AM
6 6 6	49 49 49	255 255 255	88 125 148	114 121 132	255 128 0	255 128 0	1.4 0.3 0.8 140 93 0 531 286 0.8	0 0 0	243 129 52	90 170 170 240	127 86 86 86	127 149 94 0	122 120 0 1
//7AM
0 0 0	24 24 24	255 255 255	102 140 231	119 128 150	255 255 255	255 255 255	1.1 0.4 0.8 236 0 190 543 370 0	0 0 0	255 255 255	90 170 170 240	127 70 121 120	127 160 88 21	88 220 0 1
//Midday
0 0 0	53 53 53	255 255 255	122 128 190	128 142 160	255 255 255	255 255 255	1.8 0.3 0.8 211 0 149 538 419 0.4	0 0 0	255 255 255	145 170 170 240	127 58 110 115	127 123 70 14	255 255 0 1
//7PM
1 1 1	67 67 67	255 255 255	104 131 197	185 168 131	255 255 255	255 255 255	2.1 0.3 0.7 110 40 0 543 433 0.8	0 0 0	152 180 224	153 95 87 240	127 159 80 0	127 122 27 0	255 255 0 1
//8PM
0 0 0	22 22 22	255 255 255	27 37 88	103 76 44	255 128 0	155 0 0	2 0.4 0.4 100 60 0 542 308 1	0 0 0	128 128 192	67 67 67 240	127 118 89 48	127 69 28 6	62 120 0 1
//10PM
4 2 2	35 35 35	255 255 255	0 0 0	29 25 18	255 128 0	255 128 0	25.4 0.4 0.5 140 100 0 510 201 0.8	0 0 0	255 175 164	185 160 160 240	127 182 57 39	127 77 66 0	122 0 0 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha		Illumination
//Midnight
0 0 0	33 33 33	255 255 255	0 0 0	0 0 0	0 0 0	5 0 0	1 0.3 0.8 200 100 0 479 92 1	0 0 0	3 3 3	38 38 55 240	127 64 64 64	127 88 27 0	122 0 0 0
//5AM
7 6 6	54 54 54	255 255 255	30 44 52	108 121 127	255 128 0	255 128 0	2.3 0.3 0.4 140 93 0 536 279 0.8	0 0 0	243 129 52	90 170 170 240	127 86 86 86	127 149 94 0	25 120 0 0
//6AM
6 6 6	49 49 49	255 255 255	88 125 148	114 121 132	255 128 0	255 128 0	1.4 0.3 0.8 140 93 0 551 277 0.8	0 0 0	243 129 52	90 170 170 240	127 86 86 86	127 149 94 0	122 120 0 1
//7AM
0 0 0	24 24 24	255 255 255	102 140 231	119 128 150	255 255 255	255 255 255	1.1 0.4 0.8 236 0 190 542 361 0	0 0 0	255 255 255	90 170 170 240	127 70 121 120	127 160 88 21	88 220 0 1
//Midday
